参数1_文本,
肖申克的救赎,1
霸王别姬,1
阿甘正传,1
泰坦尼克号,0
千与千寻,0
这个杀手不太冷,
美丽人生,
星际穿越,
盗梦空间,
楚门的世界,
辛德勒的名单,
忠犬八公的故事,
海上钢琴师,
三傻大闹宝莱坞,
放牛班的春天,
机器人总动员,
疯狂动物城,
无间道,
控方证人,
大话西游之大圣娶亲,
熔炉,
教父,
触不可及,
当幸福来敲门,
寻梦环游记,
末代皇帝,
龙猫,
怦然心动,
活着,
哈利·波特与魔法石,
蝙蝠侠：黑暗骑士,
指环王3：王者无敌,
我不是药神,
乱世佳人,
飞屋环游记,
素媛,
哈尔的移动城堡,
十二怒汉,
让子弹飞,
何以为家,
摔跤吧！爸爸,
猫鼠游戏,
天空之城,
海蒂和爷爷,
鬼子来了,
少年派的奇幻漂流,
钢琴家,
大话西游之月光宝盒,
指环王2：双塔奇兵,
闻香识女人,
死亡诗社,
绿皮书,
大闹天宫,
罗马假日,
黑客帝国,
指环王1：护戒使者,
天堂电影院,
教父2,
狮子王,
辩护人,
饮食男女,
搏击俱乐部,
本杰明·巴顿奇事,
美丽心灵,
穿条纹睡衣的男孩,
窃听风暴,
情书,
两杆大烟枪,
西西里的美丽传说,
音乐之声,
看不见的客人,
哈利·波特与死亡圣器(下),
阿凡达,
拯救大兵瑞恩,
飞越疯人院,
小鞋子,
功夫,
沉默的羔羊,
布达佩斯大饭店,
禁闭岛,
蝴蝶效应,
哈利·波特与阿兹卡班的囚徒,
致命魔术,
心灵捕手,
超脱,
低俗小说,
摩登时代,
春光乍泄,
海豚湾,
喜剧之王,
美国往事,
致命ID,
杀人回忆,
哈利·波特与密室,
红辣椒,
加勒比海盗,
七宗罪,
一一,
狩猎,
唐伯虎点秋香,
7号房的礼物,
被嫌弃的松子的一生,
蝙蝠侠：黑暗骑士崛起,
甜蜜蜜,
爱在黎明破晓前,
请以你的名字呼唤我,
第六感,
超能陆战队,
入殓师,
重庆森林,
断背山,
剪刀手爱德华,
幽灵公主,
勇敢的心,
爱在日落黄昏时,
寄生虫,
菊次郎的夏天,
借东西的小人阿莉埃蒂,
消失的爱人,
无人知晓,
未麻的部屋,
阳光灿烂的日子,
时空恋旅人,
倩女幽魂,
完美的世界,
天使爱美丽,
小森林 夏秋篇,
哈利·波特与火焰杯,
侧耳倾听,
驯龙高手,
幸福终点站,
一个叫欧维的男人决定去死,
教父3,
怪兽电力公司,
新世界,
茶馆,
傲慢与偏见,
玩具总动员3,
小森林 冬春篇,
萤火之森,
被解救的姜戈,
釜山行,
神偷奶爸,
色，戒,
九品芝麻官,
告白,
哪吒闹海,
玛丽和马克思,
喜宴,
大鱼,
模仿游戏,
头脑特工队,
头号玩家,
花样年华,
射雕英雄传之东成西就,
我是山姆,
七武士,
血战钢锯岭,
阳光姐妹淘,
惊魂记,
恐怖直播,
黑客帝国3：矩阵革命,
你的名字。,
三块广告牌,
电锯惊魂,
心迷宫,
达拉斯买家俱乐部,
疯狂原始人,
谍影重重3,
小丑,
英雄本色,
上帝之城,
风之谷,
绿里奇迹,
爱在午夜降临前,
背靠背，脸对脸,
海街日记,
心灵奇旅,
纵横四海,
卢旺达饭店,
疯狂的石头,
记忆碎片,
无间道2,
雨中曲,
2001太空漫游,
小偷家族,
岁月神偷,
无敌破坏王,
忠犬八公物语,
荒蛮故事,
冰川时代,
爆裂鼓手,
恐怖游轮,
牯岭街少年杀人事件,
东京教父,
魔女宅急便,
大佛普拉斯,
贫民窟的百万富翁,
遗愿清单,
东邪西毒,
你看起来好像很好吃,
末路狂花,
可可西里,
城市之光,
源代码,
黑天鹅,
海边的曼彻斯特,
真爱至上,
波西米亚狂想曲,
雨人,
青蛇,
初恋这件小事,
爱乐之城,
疯狂的麦克斯4：狂暴之路,
人工智能,
终结者2：审判日,
芙蓉镇,
恋恋笔记本,
虎口脱险,
新龙门客栈,
罗生门,
无耻混蛋,
崖上的波妞,
花束般的恋爱,
千钧一发,
彗星来的那一夜,
哈利·波特与死亡圣器(上),
高山下的花环,
萤火虫之墓,
白日梦想家,
黑客帝国2：重装上阵,
奇迹男孩,
火星救援,
二十二,
战争之王,
血钻,
步履不停,
千年女优,
哈利·波特与凤凰社,
房间,
魂断蓝桥,
谍影重重2,
大红灯笼高高挂,
蜘蛛侠：平行宇宙,
弱点,
谍影重重,
阿飞正传,
朗读者,
再次出发之纽约遇见你,
隐藏人物,
